scientific_name,common_name_th,common_name_en,category,care_level,origin_country,indoor_suitable,export_popular,rare,trending
Monstera deliciosa,มอนสเตอร่า เดลิซิโอซา,Swiss Cheese Plant,ไม้ประดับในร่ม,ปานกลาง,เม็กซิโก-อเมริกากลาง,True,True,False,True
Monstera deliciosa 'Thai Constellation',มอนสเตอร่า ไทย คอนสเตลเลชัน,Monstera Thai Constellation,ไม้ประดับในร่ม (ด่าง),ปานกลาง,เพาะเลี้ยงเนื้อเยื่อในไทย,True,True,True,True
Monstera deliciosa 'Albo',มอนสเตอร่า อัลโบ,Monstera Albo Variegata,ไม้ประดับในร่ม (ด่าง),ยาก,ลูกผสม/คัดเลือก,True,True,True,True
Philodendron erubescens 'Pink Princess',ฟิโลเดนดรอน พิงค์พรินเซส,Philodendron Pink Princess,ไม้ใบในร่ม (ด่าง),ปานกลาง,อเมริกาใต้ (ปลูกในไทย),True,True,True,True
Philodendron 'White Wizard',ฟิโลเดนดรอน ไวท์วิซาร์ด,Philodendron White Wizard,ไม้ใบในร่ม (ด่าง),ปานกลาง,ลูกผสม/คัดเลือก,True,True,True,True
Alocasia baginda 'Dragon Scale',อะโลคาเซีย ดรากอนสเกล,Alocasia Dragon Scale,ไม้ใบสะสม,ปานกลาง,โบร์เนียว (ปลูกในไทย),True,True,True,True
Alocasia baginda 'Silver Dragon',อะโลคาเซีย ซิลเวอร์ดรากอน,Alocasia Silver Dragon,ไม้ใบสะสม,ปานกลาง,โบร์เนียว (ปลูกในไทย),True,True,True,True
Anthurium crystallinum,แอนธูเรียม คริสตัลลินัม,Anthurium crystallinum,ไม้ใบสะสม,ยาก,อเมริกากลาง,True,True,True,True
Anthurium magnificum,แอนธูเรียม แมกนิฟิคัม,Anthurium magnificum,ไม้ใบสะสม,ยาก,โคลอมเบีย,True,True,True,True
Calathea lietzei 'White Fusion',คาลาเทีย ไวท์ฟิวชัน,Calathea White Fusion,ไม้ใบในร่ม,ยาก,ลูกผสม/คัดเลือก,True,True,True,True
Calathea orbifolia,คาลาเทีย ออร์บิโฟเลีย,Calathea orbifolia,ไม้ใบในร่ม,ยาก,โบลิเวีย,True,True,False,True
Scindapsus pictus 'Exotica',ซินแดปซัส เอ็กโซติกา,Scindapsus Exotica,ไม้เลื้อยในร่ม,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,True
Scindapsus treubii 'Moonlight',ซินแดปซัส มูนไลท์,Scindapsus Moonlight,ไม้เลื้อยในร่ม,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,True
Syngonium podophyllum 'Albo',ซินโกเนียม อัลโบ,Syngonium Albo Variegata,ไม้เลื้อยในร่ม (ด่าง),ง่าย,อเมริกากลาง (ปลูกในไทย),True,True,True,True
Syngonium podophyllum 'Mojito',ซินโกเนียม โมฮีโต้,Syngonium Mojito,ไม้เลื้อยในร่ม (ด่าง),ง่าย,ลูกผสม/คัดเลือก,True,True,True,True
Aglaonema pictum 'Tricolor',อโกลนีมา พิคตัม ไตรคัลเลอร์,Aglaonema Pictum Tricolor,ไม้ใบในร่ม,ปานกลาง,สุมาตรา,True,True,True,True
