id,scientific_name,common_name_th,common_name_en,category,care_level,origin_country,description_th,description_en,care_instructions,water_needs,light_needs,humidity_needs,temperature_min,temperature_max,growth_rate,max_height,max_width,is_poisonous,is_rare,is_trending
1,Monstera deliciosa 'Thai Constellation',มอนสเตอร่า ไทย คอนสเตลเลชัน,Monstera Thai Constellation,indoor,moderate,Thailand,มอนสเตอร่าพันธุ์ไทยที่มีจุดสีครีมสวยงาม เป็นที่นิยมในตลาด,Thai Monstera variety with beautiful cream variegation,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,18.0,30.0,moderate,300.0,200.0,true,true,true
2,Philodendron 'Pink Princess',ฟิลโลเดนดรอน พิงค์ พรินเซส,Philodendron Pink Princess,indoor,moderate,Colombia,ฟิลโลเดนดรอนใบสีชมพูสวยงาม กำลังเป็นที่นิยมมากในตลาด,Pink variegated Philodendron,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,18.0,28.0,slow,200.0,150.0,true,true,true
3,Alocasia 'Dragon Scale',อะโลคาเซีย ดรากอน สเกล,Alocasia Dragon Scale,indoor,moderate,Borneo,อะโลคาเซียใบมีลายคล้ายเกล็ดมังกร สวยงามและหายาก,Alocasia with dragon scale-like leaf pattern,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูงมาก,moderate,indirect,very_high,20.0,28.0,slow,150.0,100.0,true,true,true
4,Anthurium crystallinum,แอนธูเรียม คริสตัลลินัม,Anthurium Crystallinum,indoor,moderate,Colombia,แอนธูเรียมใบมีลายเส้นสีขาวสวยงาม เหมาะสำหรับตกแต่งบ้าน,Anthurium with beautiful white veining,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,18.0,28.0,slow,120.0,80.0,true,false,true
5,Calathea 'White Fusion',คาลาเทีย ไวท์ ฟิวชัน,Calathea White Fusion,indoor,moderate,Brazil,คาลาเทียใบมีลายสีขาวสวยงาม ต้องการการดูแลพิเศษ,Calathea with beautiful white variegation,รดน้ำสม่ำเสมอ ต้องการแสงรำไร ความชื้นสูงมาก,high,indirect,very_high,18.0,26.0,slow,100.0,80.0,false,false,true
6,Monstera deliciosa 'Albo Borsigiana',มอนสเตอร่า อัลโบ บอร์ซิเจียนา,Monstera Albo Borsigiana,indoor,moderate,Panama,มอนสเตอร่าพันธุ์หายากที่มีใบสีขาวสวยงาม เป็นที่นิยมในตลาด,Monstera with white variegation,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,18.0,30.0,moderate,250.0,180.0,true,true,true
7,Philodendron 'White Wizard',ฟิลโลเดนดรอน ไวท์ วิซาร์ด,Philodendron White Wizard,indoor,moderate,Colombia,ฟิลโลเดนดรอนพันธุ์หายากที่มีใบสีขาวสวยงาม,Philodendron with white variegation,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,18.0,28.0,slow,180.0,120.0,true,true,true
8,Anthurium warocqueanum,แอนธูเรียม วาโรคเคียนัม,Anthurium Warocqueanum,indoor,difficult,Colombia,แอนธูเรียมใบใหญ่และยาว สวยงามและหายากมาก,Anthurium with large elongated leaves,รดน้ำสม่ำเสมอ ต้องการแสงรำไร ความชื้นสูงมาก,high,indirect,very_high,20.0,28.0,very_slow,200.0,100.0,true,true,true
9,Alocasia 'Silver Dragon',อะโลคาเซีย ซิลเวอร์ ดรากอน,Alocasia Silver Dragon,indoor,moderate,Philippines,อะโลคาเซียใบสีเงินสวยงาม เหมาะสำหรับตกแต่งบ้าน,Alocasia with silver leaves,รดน้ำปานกลาง ต้องการแสงรำไร ความชื้นสูง,moderate,indirect,high,20.0,28.0,slow,120.0,80.0,true,false,true
10,Calathea orbifolia,คาลาเทีย ออร์บิโฟเลีย,Calathea Orbifolia,indoor,moderate,Bolivia,คาลาเทียใบกลมสวยงาม มีลายเส้นสีเงิน,Calathea with round leaves and silver stripes,รดน้ำสม่ำเสมอ ต้องการแสงรำไร ความชื้นสูง,high,indirect,high,18.0,26.0,slow,80.0,60.0,false,false,false 
